SMILES,IZ
COc1ccc(F)cc1-c1cccc(-c2nnc(SCCCC#N)o2)c1,18
COc1ccc(Cc2nnc3sc(-c4cc(-c5ccccc5)nc5ccccc45)nn23)cc1OC,16.04
CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(Cl)cc3)c(=O)n2C1c1ccc(SC)cc1,12
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1c[nH]nc1-c1ccc(Cl)cc1,9
CSc1ccc(-c2[nH]ncc2-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1,5
COc1cc2cc(O)c3oc4ccccc4c4ccc(c1=O)c2c34,5
Cc1cccc(NC2OCCc3ccccc32)n1,6
COc1ccc(-n2c(S)nnc2-c2csc(N(C(C)=O)C(C)=O)n2)c(OC)c1,8
O=C(/C=C/c1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2
N#CCCN1CCN(c2ccccc2)CC1,9
CCCCCC(=O)N1CCN(C(=O)c2cc(-c3ccc(Cl)cc3)n(-c3ccc(F)cc3)n2)CC1,10
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1c[nH]nc1-c1ccc(-c2ccccc2)cc1,10
Cc1cccc(OCc2ccccc2-c2nc(-c3ccc([N+](=O)[O-])cc3)cs2)c1,10
Cc1nn(-c2ccccc2)c2nc(S)nc(-c3ccc(Cl)cc3)c12,24
Clc1ccc(OCc2ccccc2-c2nnc(SCc3ccc(Cl)cc3Cl)o2)cc1,16
N#Cc1c(F)c(F)c(Nc2ccc(Cl)cc2)c(C#N)c1F,7.8
N#Cc1ccc(Cn2cc(C(=O)NN)c(=O)c3ccc(C(F)(F)F)cc32)cc1,8
CC(C)N1CCN(c2nc(Nc3ccccc3)nc(Oc3cc(=O)oc4ccccc34)n2)CC1,18
COC(=O)c1c(C)nc(C)c2c1C(=O)C(Cl)=C(NC[C@H]1O[C@@H]3OC(C)(C)O[C@@H]3[C@H]3OC(C)(C)O[C@H]31)C2=O,0
O=c1[nH]cnc2nc(-c3ccc(Cl)cc3)cc(-c3c(-c4ccccc4)[nH]c4ccc(Cl)cc34)c12,13
Cn1c(N2CCN(Cc3ccccc3)CC2)nc(-c2ccco2)c(C#N)c1=O,17
Cc1ccc(C#N)c(N2CCN(CC#CCOC(=O)c3sc4ncnc(N5CCOCC5)c4c3C)CC2)c1,14
Nc1[nH]c(=S)nc2c1C(c1c(-c3ccccc3)[nH]c3ccccc13)C=C(c1ccc(Cl)cc1)O2,10
OC1COc2ccccc2/C=N\n2c(nnc2-c2cccnc2)SCCCSc2nnc(-c3cccnc3)n2/N=C\c2ccccc2OC1,0
Cc1cc2c(cc1C)Nc1c(c(=O)oc3ccc([N+](=O)[O-])cc13)N2,5
Clc1cc(Cl)c(Cl)c(-c2nnc3sc(-c4cccc5ncccc45)nn23)c1,11
O=C1NC(=S)/C(=C/c2ccc(Br)cc2)S1,7
CC(C)c1cc2c(cc1O)[C@@]1(C)C(=O)CCC(C)(C)[C@@H]1[C@H](O)C2=O,7
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1c[nH]nc1-c1cc(Cl)sc1Cl,15
Cc1ccccc1OCc1ccccc1-c1nnc(-c2ccc(Cl)cc2)o1,10
Cc1nn(-c2ccccc2)c(Cl)c1/C=C/C1=Cc2c(sc(N3C(=O)[C@@H](Oc4ccc(Cl)cc4Cl)[C@H]3c3ccc(Cl)c(Cl)c3)c2C#N)C(C)(C)C1,10.85
Cc1c(/N=C/c2ccco2)c(=O)n(-c2ccccc2)n1C,15
O=C(c1cccnc1Nc1nc2cc([N+](=O)[O-])ccc2s1)N1CCNC(Cl)C1Cl,6
COc1ccc(C2SC(S)NN2C(=O)c2ccc(-n3c(-c4ccccc4)nc4ccccc4c3=O)cc2)cc1[N+](=O)[O-],27
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)N(C(=O)NC1CCCCC1)C1CCCCC1,23.2
Cc1ccc(-c2cc(-c3c(-c4ccccc4)[nH]c4ccc(Cl)cc34)c3c(N)[nH]nc3n2)cc1,9
CCN1CCN(CC2SC(c3ccc(OC)c(OC)c3)N(c3ccc(Nc4nc(Oc5cc(=O)n(C)c6ccccc56)nc(N(C)C)n4)cc3)C2=O)CC1,24
COc1ccc(C(=O)CC(Sc2ccccc2)c2ccco2)cc1,13
O=C(NO)Nc1nc(/C=C/c2ccccc2)nc2sc3c(c12)CCCC3,12
Nc1nc(COC(=O)c2cccc([N+](=O)[O-])c2Cl)cs1,10
Cc1cc(SCc2nc3ccccc3[nH]2)nc(SCc2nc3ccccc3[nH]2)n1,27
Cc1cc(O)c(C(c2c(O)cc(C)oc2=O)c2coc3ccccc3c2=O)c(=O)o1,21.2
O=C(O)C(=O)/C=C/c1cn(-c2ccccc2)nc1-c1ccc(Br)cc1,13
CC(=O)c1cc(C(C)=O)c(OC(=O)c2cccc(Cl)c2)cc1OC(=O)c1cccc(Cl)c1,5
O=C(O)c1ccc(NC(CC(=O)c2cc3ccccc3o2)c2ccc([N+](=O)[O-])cc2)cc1,3
Cn1ncc2c(NCc3ccccc3F)ncnc21,18
N#Cc1c(-c2ccc([N+](=O)[O-])cc2)cc(-c2ccc(Nc3nc(Nc4ccccc4)nc(Nc4ccccc4)n3)cc2)nc1N,0.09
CC(C)N1CCN(c2nc(Nc3ccc(C#N)c(C(F)(F)F)c3)nc(Oc3ncnc4ccccc34)n2)CC1,24
O=S(=O)(Nc1nccs1)c1ccc(/N=C/c2c[nH]c3ccccc23)cc1,20
COC(=O)c1c(C(=O)OC)c2cccnn2c1C(=O)c1ccc(F)cc1,15
CCC(CC)(c1ccc[nH]1)c1ccc(C/C(=N\O)c2cn(-c3ccc(Cl)cc3)nn2)[nH]1,0
N#CCCN1CCN(CCC#N)CC1,11
Cc1cc(=O)[nH]c(/C(=N/Nc2ccccc2)C(=O)c2ccc(Cl)cc2)n1,0
C=C/C(C)=C/C[C@H]1C(=C)C[C@H]2OC(=O)[C@@]3(C)CCC[C@@]1(C)C23,12
O=c1c2cc(Br)cc(Br)c2nc(-c2ccccc2)n1/N=C/c1cccc([N+](=O)[O-])c1,19
N#Cc1c(-c2ccccc2)nc(SCC(O)CN2CCOCC2)[nH]c1=O,16
COc1ccc(C(=O)/C=C/c2ccc3c(c2)OCO3)cc1,0
CCN(CC)CC(=O)Nn1c(S)nnc1-c1ccc(OC)cc1,10.76
Cc1ccc(/C=C(/NC(=O)c2ccccc2)C(=O)NCC(=O)N(C(=O)NC2CCCCC2)C2CCCCC2)cc1,17.6
CSc1ccc(Cc2nnc3sc(-c4ccc(-c5ccc(Cl)cc5)o4)nn23)cc1,18
Cc1c(C(N)=O)sc2nc(C)n(/N=c3\scc(-c4ccc(Cl)cc4)n3Cc3ccccc3)c(=O)c12,17
COc1cc2nc(Sc3sc(N)nc3C)n(-c3ccc(C)cc3)c(=O)c2cc1OC,8
COc1ccc(/C=N/n2c(S)nnc2Cn2nc(Cc3ccc(C)cc3)n(CCc3c[nH]c4ccccc34)c2=O)cc1,12
O=C(NC(=S)Nc1ccccc1)c1cn(CCO)c2c(cc(O)c3ncccc32)c1=O,10
Cc1nnc2n(c1=O)NP(C)(=O)NN2,20
COc1ccc(N(CC(=O)NCCCSc2ccccc2)C(=O)CCSC2=C(C)C(=O)c3ccccc3C2=O)cc1,0
O=C(Nc1ncc(-c2ccc(Cl)cc2)[nH]1)c1c[nH]cc1-c1ccccc1,28
Cc1c(-n2c(Cc3ccc(Cl)cc3)nn(CC3=NN4CC5NNC(=S)N5N=C4N3)c2=O)c(=O)n(-c2ccccc2)n1C,28
COc1cc2nc(Sc3cnc(N)s3)n(-c3ccccc3)c(=O)c2cc1OC,14
CSCCSc1nc(-c2ccccc2)c(C#N)c(=O)[nH]1,18
COc1ccc(-c2nnc(CSc3cc(C)nc(SCc4nnc(-c5ccc(OC)cc5)s4)n3)s2)cc1,10
